trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.022467088258818428}",25,0,33.7152011919408,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.021343733845877507}",25,13,21.204415435031013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.02027654715358363}",20,5,24.07086018409308,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.019262719795904448}",20,4,27.301654001864854,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.018299583806109226}",25,20,8.144439695569528,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.017384604615803764}",25,2,34.793756237854566,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.016515374385013576}",30,19,16.311304094340436,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.015689605665762895}",20,12,15.1292100447657,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.01490512538247475}",20,2,31.02806543059159,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.014159869113351011}",30,16,27.056799745347927,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.01345187565768346}",30,7,36.18673458995958,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.012779281874799287}",20,8,19.811430212132862,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.012140317781059323}",25,15,19.71177478494797,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.011533301892006355}",20,10,17.67026904014225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.010956636797406038}",20,16,8.723126876200297,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
